_id,cod_empresa,razao_social,nome_fantasia,cod_logradouro,nome_logradouro,numero,cod_bairro,nome_bairro,situacao_empresa,data_inicio,data_encerramento,latitude,longitude
1,7917,ASSOCIACAO DE MORADORES DE VILA AEROMOCA,"",75078,Rua Aiquara,25,884,COHAB,ATIVO,1993-01-04T00:00:00,"",,
2,6268,ANDRE TEIXEIRA DOS SANTOS,FOCUS,25500,Rua Frei Francisco Sampaio,103,884,COHAB,ATIVO,2010-07-30T00:00:00,"",,
3,6310,L C GOMES DA SILVA SERVICOS EM TECNOLOGIA - ME,L C GOMES DA SILVA SUPORTE TECNICO E OUTROS SERVICOS,40207,Rua Cônego Luiz Vieira,71,884,COHAB,ATIVO,2016-11-01T00:00:00,"",,
4,7962,HINGRID KAMILA DE SA CALADO 09849526408,HINGRID KAMILA DE SA CALADO,20133,Rua Domingos Antônio Jorge,74,884,COHAB,ATIVO,2021-08-02T00:00:00,"",,
5,1873,R C DOS SANTOS TELECOMUNICACOES,IGUANANET,20133,Rua Domingos Antônio Jorge,83,884,COHAB,ATIVO,2012-09-03T00:00:00,"",,
6,7904,RF COMERCIO DE EQUIPAMENTOS DE TELEFONIA EIRELI,"",56707,Rua Raposo Tavares,88,884,COHAB,ATIVO,2018-05-29T11:15:03,"",,
7,3997,ELIANE ARANTES DE MELO AUTO PECAS E SERVICOS CERTOS ME,AUTO PECAS E SERVICOS CERTOS,9342,Rua Azevedo Cruz,71,884,COHAB,ATIVO,2005-11-30T00:00:00,"",,
8,6073,J G M RADIODIAGNOSTICO LTDA ME,J G M RADIODIAGNOSTICO,50865,Rua Pero Vaz de Caminha,56,884,COHAB,ATIVO,2015-02-07T00:00:00,"",,
9,2855,CENTRO EDUCACIONAL BEM ME QUER LTDA ME,"",50865,Rua Pero Vaz de Caminha,72,884,COHAB,ATIVO,2017-12-29T12:30:11,"",,
10,5373,DANIEL A. FERREIRA DISTRIBUIDOR DE LIVROS,DISTRIBUIDORA BEM ME QUER,50865,Rua Pero Vaz de Caminha,72,884,COHAB,ATIVO,2020-12-18T00:00:00,"",,
11,1080,EDUCANDARIO ALEGRIA DO SABER S/C LTDA,ESCOLINHA ALEGRIA DO SABER,50865,Rua Pero Vaz de Caminha,71,884,COHAB,ATIVO,2002-01-01T00:00:00,"",,
12,4909,COMISSAO ORGANIZADORA DO CARNAVAL DA UR CINCO,"",20133,Rua Domingos Antônio Jorge,191,884,COHAB,ATIVO,1995-01-05T00:00:00,"",,
13,2705,MS DE ALBUQUERQUE REPRESENTACOES LTDA,MS REPRESENTACOES,56707,Rua Raposo Tavares,135,884,COHAB,ATIVO,2004-12-15T00:00:00,"",,
14,3166,LUIZ MANOEL DE PAULA ME,"",28835,Rua Henrique Rabelo,87,884,COHAB,ATIVO,2018-01-18T12:16:57,"",,
15,8914,CENTRO SOCIAL DO SALGADO,"",28835,Rua Henrique Rabelo,15,884,COHAB,ATIVO,1987-01-10T00:00:00,"",,
16,506,FABIAM GEORGE GONCALVES DE MELO ME,F.G. COMERCIAL,56707,Rua Raposo Tavares,299,884,COHAB,ATIVO,2010-11-03T00:00:00,"",,
17,2600,PANIFICADORA DOIS RIOS,"",25500,Rua Frei Francisco Sampaio,260,884,COHAB,ATIVO,1979-01-11T00:00:00,"",,
18,4335,GLEYDSON NASCIMENTO DA SILVA 07400368400,TRANSFRETE  BRASIL,25500,Rua Frei Francisco Sampaio,308,884,COHAB,ATIVO,2016-04-19T00:00:00,"",,
19,3780,POLLY DISTRIBUIDORA DE DESCARTÁVEIS EM GERAL EIRELI,POLLY DISTRIBUIDORA,25500,Rua Frei Francisco Sampaio,141,884,COHAB,ATIVO,2019-04-23T00:00:00,"",,
20,1996,J  M FALCAO EMBALAGENS ME,.,61620,Rua Tristão da Cunha,182,884,COHAB,ATIVO,2014-10-27T00:00:00,"",,
21,737,WASLLY FIGUEIREDO DOS SANTOS,REDE3 TELECOM,5800,Rua Antônio Gonçalves da Cruz,165,884,COHAB,ATIVO,2019-12-12T00:00:00,"",,
22,3263,S V DOS SANTOS PADARIA LTDA,PANIFICADORA VITORIA,60275,Rua Marechal Taumaturgo,110,884,COHAB,ATIVO,2006-11-07T00:00:00,"",,
23,580,MELQUIADES FERREIRA DE LIMA ME,MERCEARIA VEM CA,60275,Rua Marechal Taumaturgo,306,884,COHAB,ATIVO,1998-01-05T00:00:00,"",,
