Codigo;Data Nasc;Bairro;Cidade;Sexo
0076821;;CAETES I;ABREU E LIMA;M
0076824;;CENTRO;TAMANDARÉ;M
0076828;;IMBIRIBEIRA;RECIFE;
0076832;;CORDEIRO;RECIFE;M
0076838;;BOA VISTA;RECIFE;M
0076839;;COHAB;RECIFE;F
0076842;;PONTEZINHA;CABO DE SANTO AGOSTINHO;M
0076846;;PAU AMARELO;PAULISTA;F
0076854;;CENTRO;CAMARAGIBE;M
0076861;;AFOGADOS;RECIFE;M
0076870;;CURADO II;JABOATÃO DOS GUARARAPES;M
0076871;;AFOGADOS;RECIFE;M
0076881;;CORDEIRO;RECIFE;F
0076882;;ENGENHO DO MEIO;RECIFE;M
0076887;;CAJUEIRO SECO;JABOATÃO DOS GUARARAPES;M
0076891;;TIMBI;CAMARAGIBE;M
0146102;;POVOADO BREJAO;BREJO GRANDE;M
0076902;;IPUTINGA;RECIFE;M
0076905;;CENTRO;MORENO;M
0076908;;SANTO AMARO;RECIFE;M
0076913;;JARDIM PRIMAVERA;CAMARAGIBE;M
0076916;;SETOR OESTE;GOIÂNIA;M
0076923;;NOVA ARASOIBA;ARAÇOIABA;M
0076926;;DOIS CARNEIROS;JABOATÃO DOS GUARARAPES;M
0076933;;VARZEA;RECIFE;M
0076934;;TORROES;RECIFE;F
0076942;;TABATINGA;CAMARAGIBE;M
0076945;;CHAN DE CRUZ;PAUDALHO;M
0076946;;CENTRO;MONTE ALEGRE DE SERGIPE;M
0076949;;SUCUPIRA;JABOATÃO DOS GUARARAPES;M
0076957;;PORTO DA MADEIRA;RECIFE;M
0076967;;IMBIRIBEIRA;RECIFE;M
0076968;;TRÊS VENDAS;PELOTAS;M
0076972;;IPUTINGA;RECIFE;M
0076974;;LIBERDADE;MORENO;M
0076977;;BOA VIAGEM;RECIFE;M
0076978;;BONGI;RECIFE;M
0076983;;AFOGADOS;RECIFE;M
0076984;;;PONTE DOS CARVALHOS  CABO DE SANTO AGOSTINHO;M
0076986;;RIO DOCE;OLINDA;M
0076987;;MODULO II;PARAGOMINAS;M
0076993;;AFOGADOS;RECIFE;M
0077002;;GARAPU;CABO DE SANTO AGOSTINHO;M
0077003;;CAPIBARIBE;SÃO LOURENÇO DA MATA;M
0077008;;BAIRRO NOVO;TRACUNHAÉM;M
0077012;;IPUTINGA;RECIFE;F
0077013;;MURIBARA;SÃO LOURENÇO DA MATA;M
0077017;;TORROES;RECIFE;F
0077020;;IPSEP;RECIFE;M
0077021;;MARANGUAPE I;PAULISTA;M
0077024;;VILA DA FABRICA;CAMARAGIBE;M
0077029;;ALDEIA;CAMARAGIBE;M
0077039;;CENTRO;PAUDALHO;M
0077043;;CAJUEIRO SECO;JABOATÃO DOS GUARARAPES;M
0077045;;ALDEIA;CAMARAGIBE;M
0077047;;ESPINHEIRO;RECIFE;F
0077053;;GRACAS;RECIFE;M
0077054;;CORDEIRO;RECIFE;M
0077060;;CASA AMARELA;RECIFE;M
0077066;;POCO;MACEIÓ;M
0077070;;SAN MARTIN;RECIFE;F
0077079;;ALTO SANTO ANTÔNIO;CAMARAGIBE;F
0077105;;MADALENA;RECIFE;M
0077103;;CENTRO;IGUARACI;M
0077108;;MAUES;VITÓRIA DE SANTO ANTÃO;M
0077115;;CAJUEIRO;JABOATÃO DOS GUARARAPES;M
0077116;;MARANGUAPE I;PAULISTA;M
0077134;;CAJUEIRO SECO;JABOATÃO DOS GUARARAPES;M
0077135;;MADALENA;RECIFE;F
0077138;;CRUS REBOLSA;IGARASSU;M
0077146;;TIMBI;CAMARAGIBE;
0077160;;BOA VIAGEM;RECIFE;F
0077162;;CENTRO;SIRINHAÉM;M
0077163;;CORDEIRO;RECIFE;M
0077164;;MACAXEIRA;RECIFE;M
0077169;;IPUTINGA;RECIFE;M
0077178;;CENTRO;BODOCÓ;M
0077194;;PLANALTO;ABREU E LIMA;M
0077201;;TIMBI;CAMARAGIBE;
0077206;;CAJUEIRO;JABOATÃO DOS GUARARAPES;M
0077212;;BULTRINS;OLINDA;M
0077214;;AFOGADOS;RECIFE;M
0077216;;TABATINGA;IGARASSU;M
0077232;;BOA VIAGEM;RECIFE;M
0077233;;UR-11;JABOATÃO DOS GUARARAPES;M
0077240;;CAJUEIRO SECO;JABOATÃO DOS GUARARAPES;F
0077243;;MADALENA;RECIFE;M
0077244;;OURO PRETO;OLINDA;M
0077247;;PARNAMERIN;RECIFE;
0077253;;ENGENHO DO MEIO;RECIFE;M
0077254;;LOT PROGRESSO;SÃO LOURENÇO DA MATA;M
0077256;;AFOGADOS;RECIFE;M
0077257;;JARDIM PAULISTANO;CAMPINA GRANDE;M
0077263;;OURO PRETO;OLINDA;M
0077264;;CENTRO;CAMARAGIBE;M
0077272;;CORDEIRO;RECIFE;M
0077275;;;PONTE DOS CARVALHOS  CABO DE SANTO AGOSTINHO;M
0077287;;BOA VIAGEM;RECIFE;M
0077289;;MURIBARA;SÃO LOURENÇO DA MATA;M
0077292;;SANTO ALEIXO;JABOATÃO DOS GUARARAPES;M
0077299;;SANTA MÔNICA;CAMARAGIBE;M
0077304;;BOA VIAGEM;RECIFE;M
0077306;;BOA VISTA;RECIFE;M
0077314;;AREIAS;RECIFE;M
0077316;;CORDEIRO;RECIFE;F
0077320;;ENGENHO DO MEIO;RECIFE;M
0077321;;MADALENA;RECIFE;F
0077327;;CENTRO;IGARASSU;M
0077333;;BRASILIA TEIMOSA;RECIFE;M
0077334;;BESSA;JOÃO PESSOA;M
0077343;;MADALENA;RECIFE;M
0077346;;COELHOS;RECIFE;M
0077351;;BOMBA DO HEMETERIO;RECIFE;M
0077357;;PIEDADE;JABOATÃO DOS GUARARAPES;M
0077364;;PRAZERES;JABOATÃO DOS GUARARAPES;M
0077366;;COELHOS;RECIFE;M
0077370;;AFOGADOS;RECIFE;M
0077373;;BOA VIAGEM;RECIFE;M
0077385;;AFOGADOS;RECIFE;M
0077395;;BOA VISTA;RECIFE;M
0077396;;ALBERTO MAIA;CAMARAGIBE;M
